Property	Unit	
1018 West 21st Street, Los Angeles, CA, USA		1018 West 21st Street, Los Angeles, CA, USA
1128 West 37th Drive, Los Angeles, CA, USA		1128 West 37th Drive, Los Angeles, CA, USA
1213 1/2 W 24th St, Los Angeles, CA, USA		1213 1/2 W 24th St, Los Angeles, CA, USA
1223 1/4 West 36th Street, Los Angeles, CA, USA		1223 1/4 West 36th Street, Los Angeles, CA, USA
1329 1/4 West 36th Street, Los Angeles, CA, USA		1329 1/4 West 36th Street, Los Angeles, CA, USA
1329 W 37th Pl,		1329 W 37th Pl,
1329 West 36th Street, Los Angeles, CA, USA		1329 West 36th Street, Los Angeles, CA, USA
1329 West 37th Place, Los Angeles, CA, USA		1329 West 37th Place, Los Angeles, CA, USA
1331 1/2 W 36th Steet, Los Angeles, CA, USA		1331 1/2 W 36th Steet, Los Angeles, CA, USA
1331 1/2 West 36th Street, Los Angeles, CA, USA		1331 1/2 West 36th Street, Los Angeles, CA, USA
1331 1/4 W 36th Street, Los Angeles, CA, USA		1331 1/4 W 36th Street, Los Angeles, CA, USA
1331 W 36th Street, Los Angeles, CA, USA		1331 W 36th Street, Los Angeles, CA, USA
1331 West 36th Street, Los Angeles, CA, USA		1331 West 36th Street, Los Angeles, CA, USA
1331 West 37th Place, Los Angeles, CA, USA		1331 West 37th Place, Los Angeles, CA, USA
1351 West 37th St, Los Angeles, CA, USA		1351 West 37th St, Los Angeles, CA, USA
1351 West 37th Street, Los Angeles, CA, USA		1351 West 37th Street, Los Angeles, CA, USA
1362 1/2 W 35th St,		1362 1/2 W 35th St,
1362 1/2 W 35th Street, Los Angeles, CA, USA		1362 1/2 W 35th Street, Los Angeles, CA, USA
1362 1/2 West 35th Street, Los Angeles, CA, USA		1362 1/2 West 35th Street, Los Angeles, CA, USA
1362 West 35th Street, Los Angeles, CA, USA		1362 West 35th Street, Los Angeles, CA, USA
1363 1/2 West 35th Street, Los Angeles, CA, USA		1363 1/2 West 35th Street, Los Angeles, CA, USA
