Property + Unit +Room	Property	Unit	Room
1362 West 35th Street, Los Angeles, CA, USA RM101	1362 West 35th Street, Los Angeles, CA, USA		101
1362 West 35th Street, Los Angeles, CA, USA RM303	1362 West 35th Street, Los Angeles, CA, USA		303
1363 1/2 West 35th Street, Los Angeles, CA, USA RM402	1363 1/2 West 35th Street, Los Angeles, CA, USA		402
1363 1/2 West 35th Street, Los Angeles, CA, USA RM302	1363 1/2 West 35th Street, Los Angeles, CA, USA		302
1363 1/2 West 35th Street, Los Angeles, CA, USA RM301	1363 1/2 West 35th Street, Los Angeles, CA, USA		301
1363 1/2 West 35th Street, Los Angeles, CA, USA RM303	1363 1/2 West 35th Street, Los Angeles, CA, USA		303
1363 1/2 West 35th Street, Los Angeles, CA, USA RM402	1363 1/2 West 35th Street, Los Angeles, CA, USA		404
1363 1/2 West 35th Street, Los Angeles, CA, USA RM402	1363 1/2 West 35th Street, Los Angeles, CA, USA		201
1363 1/2 West 35th Street, Los Angeles, CA, USA RM401	1363 1/2 West 35th Street, Los Angeles, CA, USA		401
1363 1/2 West 35th Street, Los Angeles, CA, USA RM403	1363 1/2 West 35th Street, Los Angeles, CA, USA		403
1363 1/2 West 35th Street, Los Angeles, CA, USA RM304	1363 1/2 West 35th Street, Los Angeles, CA, USA		304
1363 1/2 West 35th Street, Los Angeles, CA, USA RM402	1363 1/2 West 35th Street, Los Angeles, CA, USA		303
1368 1/2 West 35th Street, Los Angeles, CA, USA RM202	1368 1/2 West 35th Street, Los Angeles, CA, USA		202
1368 1/2 West 35th Street, Los Angeles, CA, USA RM403	1368 1/2 West 35th Street, Los Angeles, CA, USA		403
1368 1/2 West 35th Street, Los Angeles, CA, USA RM402	1368 1/2 West 35th Street, Los Angeles, CA, USA		402
1368 1/2 West 35th Street, Los Angeles, CA, USA RM201	1368 1/2 West 35th Street, Los Angeles, CA, USA		201
1368 1/2 West 35th Street, Los Angeles, CA, USA RM401	1368 1/2 West 35th Street, Los Angeles, CA, USA		401
1368 1/2 West 35th Street, Los Angeles, CA, USA RM303	1368 1/2 West 35th Street, Los Angeles, CA, USA		303
1414 West 36th Street, Los Angeles, CA, USA RM307	1414 West 36th Street, Los Angeles, CA, USA		307
1414 West 36th Street, Los Angeles, CA, USA RM203	1414 West 36th Street, Los Angeles, CA, USA		203
1414 West 36th Street, Los Angeles, CA, USA RM304	1414 West 36th Street, Los Angeles, CA, USA		304
1414 West 36th Street, Los Angeles, CA, USA RM305	1414 West 36th Street, Los Angeles, CA, USA		305
1414 West 36th Street, Los Angeles, CA, USA RM303	1414 West 36th Street, Los Angeles, CA, USA		303
1414 West 36th Street, Los Angeles, CA, USA RM205	1414 West 36th Street, Los Angeles, CA, USA		205
1414 West 36th Street, Los Angeles, CA, USA RM205	1414 West 36th Street, Los Angeles, CA, USA		202
